#;Name;Type 1;Type 2;Total;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Generation;Legendary;CP
329;Vibrava;Ground;Dragon;340;50;70;50;50;50;70;3;False;552.5
330;Flygon;Ground;Dragon;520;80;100;80;80;80;100;3;False;1092.5
331;Cacnea;Grass;;335;50;85;40;85;40;35;3;False;597.9130372
332;Cacturne;Grass;Dark;475;70;115;60;115;60;55;3;False;1037.966762
333;Swablu;Normal;Flying;310;45;40;60;40;75;50;3;False;368.9512163
334;Altaria;Dragon;Flying;490;75;70;90;70;105;80;3;False;826.294439
334;AltariaMega Altaria;Dragon;Fairy;590;75;110;110;110;105;80;3;False;1325.825215
335;Zangoose;Normal;;458;73;115;60;60;60;90;3;False;1056.124993
336;Seviper;Poison;;458;73;100;60;100;60;65;3;False;934.2644165
337;Lunatone;Rock;Psychic;440;70;55;65;95;85;70;3;False;577.2347876
338;Solrock;Rock;Psychic;440;70;95;85;55;65;70;3;False;1014.14989
339;Barboach;Water;Ground;288;50;48;43;46;41;60;3;False;386.8220521
340;Whiscash;Water;Ground;468;110;78;73;76;71;60;3;False;975.3922288
341;Corphish;Water;;308;43;80;65;50;35;35;3;False;647.1166819
342;Crawdaunt;Water;Dark;468;63;120;85;90;55;55;3;False;1192.287717
343;Baltoy;Ground;Psychic;300;40;40;55;40;70;55;3;False;341.2660253
344;Claydol;Ground;Psychic;500;60;70;105;70;120;75;3;False;806.3808033
345;Lileep;Rock;Grass;355;66;41;77;61;87;23;3;False;483.4198175
346;Cradily;Rock;Grass;495;86;81;97;81;107;43;3;False;1021.035709
347;Anorith;Rock;Bug;355;45;95;50;40;50;75;3;False;686.9497798
348;Armaldo;Rock;Bug;495;75;125;100;70;80;45;3;False;1424.289296
349;Feebas;Water;;200;20;15;20;10;55;80;3;False;105
350;Milotic;Water;;540;95;60;79;100;125;81;3;False;762.6434291
351;Castform;Normal;;420;70;70;70;70;70;70;3;False;722.5
352;Kecleon;Normal;;440;60;90;70;60;120;40;3;False;838.3577697
353;Shuppet;Ghost;;295;44;75;35;63;33;45;3;False;488.8251221
354;Banette;Ghost;;455;64;115;65;83;63;65;3;False;1033.47956
354;BanetteMega Banette;Ghost;;555;64;165;75;93;83;75;3;False;1517.774687
355;Duskull;Ghost;;295;20;40;90;30;90;25;3;False;333.4197805
356;Dusclops;Ghost;;455;40;70;130;60;130;25;3;False;759.0742717
357;Tropius;Grass;Flying;460;99;68;83;72;87;51;3;False;877.2907614
358;Chimecho;Psychic;;425;65;50;70;95;80;65;3;False;536.0037313
359;Absol;Dark;;465;65;130;60;75;60;75;3;False;1123.16517
359;AbsolMega Absol;Dark;;565;65;150;60;115;60;115;3;False;1278.084504
360;Wynaut;Psychic;;260;95;23;48;23;48;23;3;False;316.3371619
361;Snorunt;Ice;;300;50;50;50;50;50;50;3;False;422.5
362;Glalie;Ice;;480;80;80;80;80;80;80;3;False;902.5
362;GlalieMega Glalie;Ice;;580;80;120;80;120;80;100;3;False;1282.5
363;Spheal;Ice;Water;290;70;40;50;55;50;25;3;False;408.8168906
364;Sealeo;Ice;Water;410;90;60;70;75;70;45;3;False;708.541636
365;Walrein;Ice;Water;530;110;80;90;95;90;65;3;False;1088.361728
366;Clamperl;Water;;345;35;64;85;74;55;32;3;False;558.6143571
367;Huntail;Water;;485;55;104;105;94;75;52;3;False;1090.653015
368;Gorebyss;Water;;485;55;84;105;114;75;52;3;False;907.3499876
369;Relicanth;Water;Rock;485;100;90;130;45;65;55;3;False;1355.883015
370;Luvdisc;Water;;330;43;30;55;40;65;97;3;False;286.7315818
371;Bagon;Dragon;;300;45;75;60;40;30;50;3;False;603.7383539
372;Shelgon;Dragon;;420;65;95;100;60;50;50;3;False;1055.082935
373;Salamence;Dragon;Flying;600;95;135;80;110;80;100;3;False;1533.378623
373;SalamenceMega Salamence;Dragon;Flying;700;95;145;130;120;90;120;3;False;2020.69295
374;Beldum;Steel;Psychic;300;40;55;80;35;60;30;3;False;505.9891303
375;Metang;Steel;Psychic;420;60;75;100;55;80;50;3;False;835.8379029
376;Metagross;Steel;Psychic;600;80;135;130;95;90;70;3;False;1760.504189
376;MetagrossMega Metagross;Steel;Psychic;700;80;145;150;105;110;110;3;False;2003.197444
377;Regirock;Rock;;580;80;100;200;50;100;50;3;True;1643.534682
378;Regice;Ice;;580;80;50;100;100;200;50;3;True;679.3977112
379;Registeel;Steel;;580;80;75;150;75;150;50;3;True;1126.798562
380;Latias;Dragon;Psychic;600;80;80;90;110;130;110;3;True;948.8117569
380;LatiasMega Latias;Dragon;Psychic;700;80;100;120;140;150;110;3;True;1302.34644
381;Latios;Dragon;Psychic;600;80;90;80;130;110;110;3;True;997.5
381;LatiosMega Latios;Dragon;Psychic;700;80;130;100;160;120;110;3;True;1515.57951
382;Kyogre;Water;;670;100;100;90;150;140;90;3;True;1263.692506
382;KyogrePrimal Kyogre;Water;;770;100;150;90;180;160;90;3;True;1813.124031
383;Groudon;Ground;;670;100;150;140;100;90;90;3;True;2202.919937
383;GroudonPrimal Groudon;Ground;Fire;770;100;180;160;150;90;90;3;True;2766.320887
384;Rayquaza;Dragon;Flying;680;105;150;90;150;90;95;3;True;1852.120406
384;RayquazaMega Rayquaza;Dragon;Flying;780;105;180;100;180;100;115;3;True;2290.731324
385;Jirachi;Steel;Psychic;600;100;100;100;100;100;100;3;True;1322.5
386;DeoxysNormal Forme;Psychic;;600;50;150;50;150;50;150;3;True;1072.5
386;DeoxysAttack Forme;Psychic;;600;50;180;20;180;20;150;3;True;930.0907214
386;DeoxysDefense Forme;Psychic;;600;50;70;160;70;160;90;3;True;906.5559828
386;DeoxysSpeed Forme;Psychic;;600;50;95;90;95;90;180;3;True;908.7491403
387;Turtwig;Grass;;318;55;68;64;45;55;31;4;False;617.2209491
388;Grotle;Grass;;405;75;89;85;55;65;36;4;False;986.63063
389;Torterra;Grass;Ground;525;95;109;105;75;85;56;4;False;1424.651536
390;Chimchar;Fire;;309;44;58;44;58;44;61;4;False;430.7
391;Monferno;Fire;Fighting;405;64;78;52;78;52;81;4;False;676.6029633
392;Infernape;Fire;Fighting;534;76;104;71;104;71;108;4;False;1052.729718
393;Piplup;Water;;314;53;51;53;61;56;40;4;False;448.8
394;Prinplup;Water;;405;64;66;68;81;76;50;4;False;655.8999695
395;Empoleon;Water;Steel;530;84;86;88;111;101;60;4;False;1019.89998
396;Starly;Normal;Flying;245;40;55;30;30;30;60;4;False;348.245603
397;Staravia;Normal;Flying;340;55;75;50;40;40;80;4;False;607.0831903
398;Staraptor;Normal;Flying;485;85;120;70;50;60;100;4;False;1244.638502
399;Bidoof;Normal;;250;59;45;40;35;40;31;4;False;382.7793098
400;Bibarel;Normal;Water;410;79;85;60;55;60;71;4;False;839.6427812
401;Kricketot;Bug;;194;37;25;41;25;41;25;4;False;215.851801
402;Kricketune;Bug;;384;77;85;51;55;51;65;4;False;779.2303896
403;Shinx;Electric;;263;45;65;34;40;34;45;4;False;433.7741348
404;Luxio;Electric;;363;60;85;49;60;49;60;4;False;692.820323
405;Luxray;Electric;;523;80;120;79;95;79;70;4;False;1275.732143
406;Budew;Grass;Poison;280;40;30;35;50;70;55;4;False;235.9819908
407;Roserade;Grass;Poison;515;60;70;65;125;105;90;4;False;658.4071689
408;Cranidos;Rock;;350;67;125;40;30;30;58;4;False;940.1914699
409;Rampardos;Rock;;495;97;165;60;65;50;58;4;False;1649.72725
410;Shieldon;Rock;Steel;350;30;42;118;42;88;30;4;False;440.967856
411;Bastiodon;Rock;Steel;495;60;52;168;47;138;30;4;False;784.9300924
412;Burmy;Bug;;224;40;29;45;29;45;36;4;False;252.7607564
413;WormadamPlant Cloak;Bug;Grass;424;60;59;85;79;105;36;4;False;640.8587988
413;WormadamSandy Cloak;Bug;Ground;424;60;79;105;59;85;36;4;False;891.7623002
413;WormadamTrash Cloak;Bug;Steel;424;60;69;95;69;95;36;4;False;762.9678892
414;Mothim;Bug;Flying;424;70;94;50;94;50;66;4;False;810.2007467
415;Combee;Bug;Flying;244;30;30;42;30;42;70;4;False;227.9062307
416;Vespiquen;Bug;Flying;474;70;80;102;80;102;40;4;False;947.3838979
417;Pachirisu;Electric;;405;60;45;70;45;90;95;4;False;479.0615827
418;Buizel;Water;;330;55;65;35;60;30;85;4;False;473.2863826
419;Floatzel;Water;;495;85;105;55;85;50;115;4;False;1003.992032
420;Cherubi;Grass;;275;45;35;45;62;53;35;4;False;300
421;Cherrim;Grass;;450;70;60;70;87;78;85;4;False;637.5
422;Shellos;Water;;325;76;48;48;57;62;34;4;False;477.0144337
423;Gastrodon;Water;Ground;475;111;83;68;92;82;39;4;False;1002.19076
424;Ambipom;Normal;;482;75;100;66;60;66;115;4;False;981.8872135
425;Drifloon;Ghost;Flying;348;90;50;34;60;44;70;4;False;466.2362599
426;Drifblim;Ghost;Flying;498;150;80;44;90;54;80;4;False;937.3279842
427;Buneary;Normal;;350;55;66;44;44;56;85;4;False;520.547116
428;Lopunny;Normal;;480;65;76;84;54;96;105;4;False;809.8488748
428;LopunnyMega Lopunny;Normal;Fighting;580;65;136;94;54;96;135;4;False;1410.052198
429;Mismagius;Ghost;;495;60;60;60;105;105;105;4;False;562.5
430;Honchkrow;Dark;Flying;505;100;125;52;105;52;71;4;False;1228.893812
431;Glameow;Normal;;310;49;55;42;42;37;85;4;False;422.7907284
432;Purugly;Normal;;452;71;82;64;64;59;112;4;False;799.5295242
433;Chingling;Psychic;;285;45;30;50;65;50;45;4;False;281.0249099
434;Stunky;Poison;Dark;329;63;63;47;41;41;74;4;False;542.4225659
435;Skuntank;Poison;Dark;479;103;93;67;71;61;84;4;False;1062.359939
436;Bronzor;Steel;Psychic;300;57;24;86;24;86;23;4;False;332.5764874
437;Bronzong;Steel;Psychic;500;67;89;116;79;116;33;4;False;1077.89365
438;Bonsly;Rock;;290;50;80;95;10;45;10;4;False;803.29789
439;Mime Jr.;Psychic;Fairy;310;20;25;45;70;90;60;4;False;183.3030278
440;Happiny;Normal;;220;100;5;5;15;65;30;4;False;95.91663047
441;Chatot;Normal;Flying;411;76;65;45;92;42;91;4;False;591.1345025
442;Spiritomb;Ghost;Dark;485;50;92;108;92;108;35;4;False;956.7379735
443;Gible;Dragon;Ground;300;58;70;45;40;45;42;4;False;562.5433317
444;Gabite;Dragon;Ground;410;68;90;65;50;55;82;4;False;855.6050491
445;Garchomp;Dragon;Ground;600;108;130;95;80;85;102;4;False;1686.618659
445;GarchompMega Garchomp;Dragon;Ground;700;108;170;115;120;95;92;4;False;2339.354078
446;Munchlax;Normal;;390;135;85;40;40;85;5;4;False;908.2951062
447;Riolu;Fighting;;285;40;70;40;35;40;60;4;False;467.5
448;Lucario;Fighting;Steel;525;70;110;70;115;70;90;4;False;1062.5
448;LucarioMega Lucario;Fighting;Steel;625;70;145;88;140;70;112;4;False;1497.090512
449;Hippopotas;Ground;;330;68;72;78;38;42;32;4;False;764.3632056
450;Hippowdon;Ground;;525;108;112;118;68;72;47;4;False;1624.359292
451;Skorupi;Poison;Bug;330;40;50;90;30;55;65;4;False;493.957235
452;Drapion;Poison;Dark;500;70;90;110;60;75;95;4;False;1082.315227
453;Croagunk;Poison;Fighting;300;48;61;40;61;40;50;4;False;447.3683046
454;Toxicroak;Poison;Fighting;490;83;106;65;86;65;85;4;False;1071.379671
455;Carnivine;Grass;;454;74;100;72;90;72;46;4;False;1011.934657
456;Finneon;Water;;330;49;49;56;49;61;66;4;False;431.4188684
457;Lumineon;Water;;460;69;69;76;69;86;91;4;False;734.4117646
458;Mantyke;Water;Flying;345;45;20;50;60;120;50;4;False;218.5749299
459;Snover;Grass;Ice;334;60;62;50;62;60;40;4;False;537.6232417
460;Abomasnow;Grass;Ice;494;90;92;75;92;85;60;4;False;1040.158882
460;AbomasnowMega Abomasnow;Grass;Ice;594;90;132;105;132;105;30;4;False;1650.070908
461;Weavile;Dark;Ice;510;70;120;65;45;85;125;4;False;1113.238519
462;Magnezone;Electric;Steel;535;70;70;115;130;90;60;4;False;893.5113318
463;Lickilicky;Normal;;515;110;85;95;80;95;50;4;False;1172.60394
464;Rhyperior;Ground;Rock;535;115;140;130;55;55;40;4;False;2128.077184
465;Tangrowth;Grass;;535;100;100;125;110;50;50;4;False;1459.186417
466;Electivire;Electric;;540;75;123;67;95;85;95;4;False;1185.515584
467;Magmortar;Fire;;540;75;95;67;125;95;83;4;False;944.9761902
468;Togekiss;Fairy;Flying;545;85;50;95;120;115;80;4;False;681.7257513
469;Yanmega;Bug;Flying;515;86;76;86;116;56;95;4;False;919.1
470;Leafeon;Grass;;525;65;110;130;60;65;95;4;False;1346.291202
471;Glaceon;Ice;;525;65;60;110;130;95;65;4;False;750
472;Gliscor;Ground;Flying;510;75;95;125;45;75;95;4;False;1234.746938
473;Mamoswine;Ice;Ground;530;110;130;80;70;60;80;4;False;1580.100867
474;Porygon-Z;Normal;;535;85;80;70;135;75;90;4;False;875.8567234
475;Gallade;Psychic;Fighting;518;68;125;65;65;115;80;4;False;1140.806732
475;GalladeMega Gallade;Psychic;Fighting;618;68;165;95;65;115;110;4;False;1719.918603
476;Probopass;Rock;Steel;525;60;55;145;75;150;40;4;False;766.8115805
477;Dusknoir;Ghost;;525;45;100;135;65;135;45;4;False;1090.985793
478;Froslass;Ice;Ghost;480;70;80;70;80;70;110;4;False;807.5
479;Rotom;Electric;Ghost;440;50;50;77;95;77;91;4;False;502.6479882
479;RotomHeat Rotom;Electric;Fire;520;50;65;107;105;107;86;4;False;712.4043795
479;RotomWash Rotom;Electric;Water;520;50;65;107;105;107;86;4;False;712.4043795
479;RotomFrost Rotom;Electric;Ice;520;50;65;107;105;107;86;4;False;712.4043795
479;RotomFan Rotom;Electric;Flying;520;50;65;107;105;107;86;4;False;712.4043795
479;RotomMow Rotom;Electric;Grass;520;50;65;107;105;107;86;4;False;712.4043795
480;Uxie;Psychic;;580;75;75;130;75;130;95;4;True;1028.129369
481;Mesprit;Psychic;;580;80;105;105;105;105;80;4;True;1281.24939
482;Azelf;Psychic;;580;75;125;70;125;70;115;4;True;1224.499898
483;Dialga;Steel;Dragon;680;100;120;120;150;100;90;4;True;1682.091332
484;Palkia;Water;Dragon;680;90;120;100;150;120;100;4;True;1483.465116
485;Heatran;Fire;Steel;600;91;90;106;130;106;77;4;True;1189.145281
486;Regigigas;Normal;;670;110;160;110;80;110;100;4;True;2187.5
487;GiratinaAltered Forme;Ghost;Dragon;680;150;100;120;100;120;90;4;True;1716.353329
487;GiratinaOrigin Forme;Ghost;Dragon;680;150;120;100;120;100;90;4;True;1859.621937
488;Cresselia;Psychic;;600;120;70;120;75;130;85;4;False;1147.5
489;Phione;Water;;480;80;80;80;80;80;80;4;False;902.5
490;Manaphy;Water;;600;100;100;100;100;100;100;4;False;1322.5
491;Darkrai;Dark;;600;70;90;90;135;90;125;4;True;991.9582905
492;ShayminLand Forme;Grass;;600;100;100;100;100;100;100;4;True;1322.5
492;ShayminSky Forme;Grass;Flying;600;100;103;75;120;75;127;4;True;1200.472407
493;Arceus;Normal;;720;120;120;120;120;120;120;4;True;1822.5
494;Victini;Psychic;Fire;600;100;100;100;100;100;100;5;True;1322.5
495;Snivy;Grass;;308;45;45;55;45;55;63;5;False;388.8444419
496;Servine;Grass;;413;60;60;75;60;75;83;5;False;616.1878772
497;Serperior;Grass;;528;75;75;95;75;95;113;5;False;895.4886934
498;Tepig;Fire;;308;65;63;45;45;45;45;5;False;540.399852
499;Pignite;Fire;Fighting;418;90;93;55;70;55;55;5;False;925.9071228
500;Emboar;Fire;Fighting;528;110;123;65;100;65;65;5;False;1380
501;Oshawott;Water;;308;55;55;45;63;45;45;5;False;453.6518489
502;Dewott;Water;;413;75;75;60;83;60;60;5;False;739.4254526
503;Samurott;Water;;528;95;100;85;108;70;70;5;False;1206.130175
504;Patrat;Normal;;255;45;55;39;35;39;42;5;False;398.4469852
505;Watchog;Normal;;420;60;85;69;60;69;77;5;False;793.7253933
506;Lillipup;Normal;;275;45;60;45;25;45;55;5;False;450
507;Herdier;Normal;;370;65;80;65;35;65;60;5;False;760
508;Stoutland;Normal;;500;85;110;90;45;90;80;5;False;1280.868846
509;Purrloin;Dark;;281;41;50;37;50;37;66;5;False;350.7591766
510;Liepard;Dark;;446;64;88;50;88;50;106;5;False;738.0868174
511;Pansage;Grass;;316;50;53;48;53;48;64;5;False;435.1468718
512;Simisage;Grass;;498;75;98;63;98;63;101;5;False;946.775475
513;Pansear;Fire;;316;50;53;48;53;48;64;5;False;435.1468718
514;Simisear;Fire;;498;75;98;63;98;63;101;5;False;946.775475
515;Panpour;Water;;316;50;53;48;53;48;64;5;False;435.1468718
516;Simipour;Water;;498;75;98;63;98;63;101;5;False;946.775475
517;Munna;Psychic;;292;76;25;45;67;55;24;5;False;295.5672512
518;Musharna;Psychic;;487;116;55;85;107;95;29;5;False;801.18662
519;Pidove;Normal;Flying;264;50;55;50;36;30;43;5;False;455
520;Tranquill;Normal;Flying;358;62;77;62;50;42;65;5;False;708.4
521;Unfezant;Normal;Flying;488;80;115;80;65;55;93;5;False;1235
522;Blitzle;Electric;;295;45;60;32;50;32;76;5;False;398.2775414
523;Zebstrika;Electric;;497;75;100;63;80;63;116;5;False;963.532563
524;Roggenrola;Rock;;280;55;75;85;25;25;15;5;False;752.9940239
525;Boldore;Rock;;390;70;105;105;50;40;20;5;False;1211.940593
526;Gigalith;Rock;;515;85;135;130;60;80;25;5;False;1806.239187
527;Woobat;Psychic;Flying;313;55;45;43;55;43;72;5;False;382.3087757
528;Swoobat;Psychic;Flying;425;67;57;55;77;55;114;5;False;545.4920714
529;Drilbur;Ground;;328;60;85;40;30;45;68;5;False;642.2616289
530;Excadrill;Ground;Steel;508;110;135;60;50;65;88;5;False;1452.368755
531;Audino;Normal;;445;103;60;86;60;86;50;5;False;818.7719463
531;AudinoMega Audino;Normal;Fairy;545;103;60;126;80;126;50;5;False;967.4127868
532;Timburr;Fighting;;305;75;80;55;25;35;35;5;False;754.0391237
533;Gurdurr;Fighting;;405;85;105;85;40;50;40;5;False;1200
534;Conkeldurr;Fighting;;505;105;140;95;55;65;45;5;False;1780.81442
535;Tympole;Water;;294;50;50;40;50;40;64;5;False;388.6434742
536;Palpitoad;Water;Ground;384;75;65;55;65;55;69;5;False;634.9803147
537;Seismitoad;Water;Ground;509;105;95;75;85;75;74;5;False;1143.153533
538;Throh;Fighting;;465;120;100;85;30;85;45;5;False;1336.179254
539;Sawk;Fighting;;465;75;125;75;30;75;85;5;False;1260
540;Sewaddle;Bug;Grass;310;45;53;70;40;60;42;5;False;485.6171331
541;Swadloon;Bug;Grass;380;55;63;90;50;80;42;5;False;668.7106998
542;Leavanny;Bug;Grass;500;75;103;80;70;80;92;5;False;1091.101279
543;Venipede;Bug;Poison;260;30;45;59;30;39;57;5;False;346.2369131
544;Whirlipede;Bug;Poison;360;40;55;99;40;79;47;5;False;554.2833211
545;Scolipede;Bug;Poison;485;60;100;89;55;69;112;5;False;1015.6525
546;Cottonee;Grass;Fairy;280;40;27;60;37;50;66;5;False;269.7498842
547;Whimsicott;Grass;Fairy;480;60;67;85;77;75;116;5;False;710.1408311
548;Petilil;Grass;;280;45;35;50;70;50;30;5;False;312.2498999
549;Lilligant;Grass;;480;70;60;75;110;75;90;5;False;655.9820882
550;Basculin;Water;;460;70;92;65;80;55;98;5;False;882.3446039
551;Sandile;Ground;Dark;292;50;72;35;35;35;65;5;False;495.9763099
552;Krokorok;Ground;Dark;351;60;82;45;45;45;74;5;False;650.6957815
553;Krookodile;Ground;Dark;519;95;117;80;65;70;92;5;False;1349.373188
554;Darumaka;Fire;;315;70;90;45;15;45;50;5;False;749.849985
555;DarmanitanStandard Mode;Fire;;480;105;140;55;30;55;95;5;False;1420.598465
555;DarmanitanZen Mode;Fire;Psychic;540;105;30;105;140;105;55;5;False;540
556;Maractus;Grass;;461;75;86;67;106;67;60;5;False;867.6599564
557;Dwebble;Bug;Rock;325;50;65;85;35;35;55;5;False;644.9806199
558;Crustle;Bug;Rock;475;70;95;125;65;75;45;5;False;1199.958333
559;Scraggy;Dark;Fighting;348;50;75;70;35;70;48;5;False;668.9730936
560;Scrafty;Dark;Fighting;488;65;90;115;45;115;58;5;False;1070.794098
561;Sigilyph;Psychic;Flying;490;72;58;80;103;80;97;5;False;663.6579315
562;Yamask;Ghost;;303;38;30;85;55;65;30;5;False;327.604945
563;Cofagrigus;Ghost;;483;58;50;145;95;105;30;5;False;702.4813165
564;Tirtouga;Water;Rock;355;54;78;103;53;45;22;5;False;839.1671943
565;Carracosta;Water;Rock;495;74;108;133;83;65;32;5;False;1411.662807
566;Archen;Rock;Flying;401;55;112;45;74;45;70;5;False;823.0540687
567;Archeops;Rock;Flying;567;75;140;65;112;65;110;5;False;1315.218613
568;Trubbish;Poison;;329;50;50;62;40;62;65;5;False;459.8491601
569;Garbodor;Poison;;474;80;95;82;60;82;75;5;False;1055.942707
570;Zorua;Dark;;330;40;65;40;80;40;65;5;False;440
571;Zoroark;Dark;;510;60;105;60;120;60;105;5;False;900
572;Minccino;Normal;;300;55;50;40;40;40;75;5;False;403.3143935
573;Cinccino;Normal;;470;75;95;60;65;60;115;5;False;903.7422199
574;Gothita;Psychic;;290;45;30;50;55;65;45;5;False;281.0249099
575;Gothorita;Psychic;;390;60;45;70;75;85;55;5;False;479.0615827
576;Gothitelle;Psychic;;490;70;55;95;95;110;65;5;False;676.8677862
577;Solosis;Psychic;;290;45;30;40;105;50;20;5;False;258.5053191
578;Duosion;Psychic;;370;65;40;50;125;60;30;5;False;396.6106403
579;Reuniclus;Psychic;;490;110;65;75;125;85;30;5;False;848.5281374
580;Ducklett;Water;Flying;305;62;44;50;44;50;55;5;False;417.4015453
581;Swanna;Water;Flying;473;75;87;63;87;63;98;5;False;854.6114907
582;Vanillite;Ice;;305;36;50;50;65;60;44;5;False;374.2442384
583;Vanillish;Ice;;395;51;65;65;80;75;59;5;False;581.308868
584;Vanilluxe;Ice;;535;71;95;85;110;95;79;5;False;1020.098035
585;Deerling;Normal;Grass;335;60;60;50;40;50;75;5;False;523.6590016
586;Sawsbuck;Normal;Grass;475;80;100;70;60;70;95;5;False;1033.401543
587;Emolga;Electric;Flying;428;55;75;60;75;60;103;5;False;652.1119536
588;Karrablast;Bug;;315;50;75;45;40;45;60;5;False;562.0498199
589;Escavalier;Bug;Steel;495;70;135;105;60;105;20;5;False;1514.925741
590;Foongus;Grass;Poison;294;69;55;45;55;55;15;5;False;496.9507018
591;Amoonguss;Grass;Poison;464;114;85;70;85;80;30;5;False;1047.138959
592;Frillish;Water;Ghost;335;55;40;50;65;85;40;5;False;370.995283
593;Jellicent;Water;Ghost;480;100;60;70;85;105;60;5;False;741.5144975
594;Alomomola;Water;;470;165;75;80;40;45;65;5;False;1176.902715
595;Joltik;Bug;Electric;319;50;47;50;57;50;65;5;False;403
596;Galvantula;Bug;Electric;472;70;77;60;97;60;108;5;False;734.5610934
597;Ferroseed;Grass;Steel;305;44;50;91;24;86;10;5;False;514.0345319
598;Ferrothorn;Grass;Steel;489;74;94;131;54;116;20;5;False;1242.504382
599;Klink;Steel;;300;40;55;70;45;60;30;5;False;478.6178016
600;Klang;Steel;;440;60;80;95;70;85;50;5;False;862.8803509
601;Klinklang;Steel;;520;60;100;115;70;85;90;5;False;1135.534015
602;Tynamo;Electric;;275;35;55;40;45;40;60;5;False;367.0830969
603;Eelektrik;Electric;;405;65;85;70;75;70;40;5;False;824.6211251
604;Eelektross;Electric;;515;85;115;80;105;80;50;5;False;1267.083265
605;Elgyem;Psychic;;335;55;55;55;85;55;30;5;False;490
606;Beheeyem;Psychic;;485;75;75;75;125;95;40;5;False;810
607;Litwick;Ghost;Fire;275;50;30;55;65;55;20;5;False;303.5415952
608;Lampent;Ghost;Fire;370;60;40;60;95;60;55;5;False;412.5
609;Chandelure;Ghost;Fire;520;60;55;90;145;90;80;5;False;621.1883772
610;Axew;Dragon;;320;46;87;60;30;40;57;5;False;689.9152122
611;Fraxure;Dragon;;410;66;117;70;40;50;67;5;False;1095.281882
612;Haxorus;Dragon;;540;76;147;90;60;70;97;5;False;1583.544821
613;Cubchoo;Ice;;305;55;70;40;60;40;40;5;False;527.41113
614;Beartic;Ice;;485;95;110;80;70;80;50;5;False;1277.815519
615;Cryogonal;Ice;;485;70;50;30;95;135;105;5;False;402.0027985
616;Shelmet;Bug;;305;50;40;85;40;65;25;5;False;443.4241762
617;Accelgor;Bug;;495;80;70;40;100;60;145;5;False;614.4153725
618;Stunfisk;Ground;Electric;471;109;66;84;81;99;32;5;False;897.4566062
619;Mienfoo;Fighting;;350;45;85;50;55;50;65;5;False;624.4997998
620;Mienshao;Fighting;;510;65;125;60;95;60;105;5;False;1084.435337
621;Druddigon;Dragon;;485;77;120;90;60;90;48;5;False;1326.851537
622;Golett;Ground;Ghost;303;59;74;50;35;50;35;5;False;617.2520555
623;Golurk;Ground;Ghost;483;89;124;80;55;80;55;5;False;1381.634829
624;Pawniard;Dark;Steel;340;45;85;70;40;40;60;5;False;714.1428429
625;Bisharp;Dark;Steel;490;65;125;100;60;70;70;5;False;1342.832827
626;Bouffalant;Normal;;490;95;110;95;40;95;55;5;False;1375
627;Rufflet;Normal;Flying;350;70;83;50;37;50;60;5;False;728.4373686
628;Braviary;Normal;Flying;510;100;123;75;57;75;80;5;False;1403.942307
629;Vullaby;Dark;Flying;370;70;55;75;45;65;60;5;False;612.249949
630;Mandibuzz;Dark;Flying;510;110;65;105;55;95;80;5;False;979.7958971
631;Heatmor;Fire;;484;85;97;66;105;66;65;5;False;1008
632;Durant;Bug;Steel;484;58;109;112;48;48;109;5;False;1193.946799
633;Deino;Dark;Dragon;300;52;65;50;45;50;38;5;False;527.9393905
634;Zweilous;Dark;Dragon;420;72;85;70;65;70;58;5;False;859.9418585
635;Hydreigon;Dark;Dragon;600;92;105;90;125;90;98;5;False;1271.943395
636;Larvesta;Bug;Fire;360;55;85;55;50;55;60;5;False;700
637;Volcarona;Bug;Fire;550;85;60;65;135;105;100;5;False;670.8203932
638;Cobalion;Steel;Fighting;580;91;90;129;90;72;108;5;True;1297.249398
639;Terrakion;Rock;Fighting;580;91;129;90;72;90;108;5;True;1519.182938
640;Virizion;Grass;Fighting;580;91;90;72;90;129;108;5;True;1008.328072
641;TornadusIncarnate Forme;Flying;;580;79;115;70;125;80;111;5;True;1162.028399
641;TornadusTherian Forme;Flying;;580;79;100;80;110;90;121;5;True;1086.734788
642;ThundurusIncarnate Forme;Electric;Flying;580;79;115;70;125;80;111;5;True;1162.028399
642;ThundurusTherian Forme;Electric;Flying;580;79;105;70;145;80;101;5;True;1072.641599
643;Reshiram;Dragon;Fire;680;100;120;100;150;120;90;5;True;1552.5
644;Zekrom;Dragon;Electric;680;100;150;120;120;100;90;5;True;2055.889406
645;LandorusIncarnate Forme;Ground;Flying;600;89;125;90;115;80;101;5;True;1462.983253
645;LandorusTherian Forme;Ground;Flying;600;89;145;90;105;80;91;5;True;1671.980861
646;Kyurem;Dragon;Ice;660;125;130;90;130;90;95;5;True;1758.03157
646;KyuremBlack Kyurem;Dragon;Ice;700;125;170;100;120;90;95;5;True;2347.386845
646;KyuremWhite Kyurem;Dragon;Ice;700;125;120;90;170;100;95;5;True;1636.788013
647;KeldeoOrdinary Forme;Water;Fighting;580;91;72;90;129;90;108;5;False;917.8396919
647;KeldeoResolute Forme;Water;Fighting;580;91;72;90;129;90;108;5;False;917.8396919
648;MeloettaAria Forme;Normal;Psychic;600;100;77;77;128;128;90;5;False;946.3039681
648;MeloettaPirouette Forme;Normal;Fighting;600;100;128;90;77;77;128;5;False;1571.37416
649;Genesect;Bug;Steel;600;71;120;95;120;95;99;5;False;1313.044173
