#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,CP,Over
310,Manectric,Electric,None,475,70,75,60,105,60,105,3,False,718.592374,0
310,ManectricMega Manectric,Electric,None,575,70,75,80,135,80,135,3,False,808.749034,0
311,Plusle,Electric,None,405,60,50,40,85,75,95,3,False,417.4700588,0
312,Minun,Electric,None,405,60,40,50,75,85,95,3,False,384.0166012,0
313,Volbeat,Bug,None,400,65,73,55,47,75,85,3,False,658.5317001,0
314,Illumise,Bug,None,400,65,47,55,73,75,85,3,False,463.965516,0
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False,468.3748499,0
316,Gulpin,Poison,None,302,70,43,53,43,53,40,3,False,440.9526052,0
317,Swalot,Poison,None,467,100,73,83,73,83,55,3,False,934.2102547,0
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,False,481.170448,0
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False,923.0486174,0
319,SharpedoMega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,False,1317.5,1
320,Wailmer,Water,None,400,130,70,35,70,35,60,3,False,723.7489206,0
321,Wailord,Water,None,500,170,90,45,90,45,60,3,False,1106.243644,0
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False,481.6962217,0
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,False,977.5,0
323,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,False,1334.726095,1
324,Torkoal,Fire,None,470,70,85,140,85,70,20,3,False,1147.824028,0
325,Spoink,Psychic,None,330,60,25,35,70,80,60,3,False,244.9489743,0
326,Grumpig,Psychic,None,470,80,45,65,90,110,80,3,False,523.0678732,0
327,Spinda,Normal,None,360,60,60,60,60,60,60,3,False,562.5,0
328,Trapinch,Ground,None,290,45,100,45,45,45,10,3,False,690,0
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False,552.5,0
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False,1092.5,0
331,Cacnea,Grass,None,335,50,85,40,85,40,35,3,False,597.9130372,0
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,False,1037.966762,0
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False,368.9512163,0
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False,826.294439,0
334,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,False,1325.825215,1
335,Zangoose,Normal,None,458,73,115,60,60,60,90,3,False,1056.124993,0
336,Seviper,Poison,None,458,73,100,60,100,60,65,3,False,934.2644165,0
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70,3,False,577.2347876,0
338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False,1014.14989,0
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,False,386.8220521,0
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False,975.3922288,0
341,Corphish,Water,None,308,43,80,65,50,35,35,3,False,647.1166819,0
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False,1192.287717,0
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,False,341.2660253,0
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False,806.3808033,0
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,False,483.4198175,0
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False,1021.035709,0
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,False,686.9497798,0
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False,1424.289296,1
349,Feebas,Water,None,200,20,15,20,10,55,80,3,False,105,0
350,Milotic,Water,None,540,95,60,79,100,125,81,3,False,762.6434291,0
351,Castform,Normal,None,420,70,70,70,70,70,70,3,False,722.5,0
352,Kecleon,Normal,None,440,60,90,70,60,120,40,3,False,838.3577697,0
353,Shuppet,Ghost,None,295,44,75,35,63,33,45,3,False,488.8251221,0
354,Banette,Ghost,None,455,64,115,65,83,63,65,3,False,1033.47956,0
354,BanetteMega Banette,Ghost,None,555,64,165,75,93,83,75,3,False,1517.774687,1
355,Duskull,Ghost,None,295,20,40,90,30,90,25,3,False,333.4197805,0
356,Dusclops,Ghost,None,455,40,70,130,60,130,25,3,False,759.0742717,0
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,False,877.2907614,0
358,Chimecho,Psychic,None,425,65,50,70,95,80,65,3,False,536.0037313,0
359,Absol,Dark,None,465,65,130,60,75,60,75,3,False,1123.16517,0
359,AbsolMega Absol,Dark,None,565,65,150,60,115,60,115,3,False,1278.084504,1
360,Wynaut,Psychic,None,260,95,23,48,23,48,23,3,False,316.3371619,0
361,Snorunt,Ice,None,300,50,50,50,50,50,50,3,False,422.5,0
362,Glalie,Ice,None,480,80,80,80,80,80,80,3,False,902.5,0
362,GlalieMega Glalie,Ice,None,580,80,120,80,120,80,100,3,False,1282.5,1
363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,False,408.8168906,0
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,False,708.541636,0
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,False,1088.361728,0
366,Clamperl,Water,None,345,35,64,85,74,55,32,3,False,558.6143571,0
367,Huntail,Water,None,485,55,104,105,94,75,52,3,False,1090.653015,0
368,Gorebyss,Water,None,485,55,84,105,114,75,52,3,False,907.3499876,0
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False,1355.883015,1
370,Luvdisc,Water,None,330,43,30,55,40,65,97,3,False,286.7315818,0
371,Bagon,Dragon,None,300,45,75,60,40,30,50,3,False,603.7383539,0
372,Shelgon,Dragon,None,420,65,95,100,60,50,50,3,False,1055.082935,0
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False,1533.378623,1
373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,False,2020.69295,1
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,False,505.9891303,0
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,False,835.8379029,0
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False,1760.504189,1
376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,False,2003.197444,1
377,Regirock,Rock,None,580,80,100,200,50,100,50,3,True,1643.534682,1
378,Regice,Ice,None,580,80,50,100,100,200,50,3,True,679.3977112,0
379,Registeel,Steel,None,580,80,75,150,75,150,50,3,True,1126.798562,0
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,True,948.8117569,0
380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True,1302.34644,1
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,True,997.5,0
381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,True,1515.57951,1
382,Kyogre,Water,None,670,100,100,90,150,140,90,3,True,1263.692506,1
382,KyogrePrimal Kyogre,Water,None,770,100,150,90,180,160,90,3,True,1813.124031,1
383,Groudon,Ground,None,670,100,150,140,100,90,90,3,True,2202.919937,1
383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True,2766.320887,1
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,True,1852.120406,1
384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True,2290.731324,1
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True,1322.5,1
386,DeoxysNormal Forme,Psychic,None,600,50,150,50,150,50,150,3,True,1072.5,0
386,DeoxysAttack Forme,Psychic,None,600,50,180,20,180,20,150,3,True,930.0907214,0
386,DeoxysDefense Forme,Psychic,None,600,50,70,160,70,160,90,3,True,906.5559828,0
386,DeoxysSpeed Forme,Psychic,None,600,50,95,90,95,90,180,3,True,908.7491403,0
387,Turtwig,Grass,None,318,55,68,64,45,55,31,4,False,617.2209491,0
388,Grotle,Grass,None,405,75,89,85,55,65,36,4,False,986.63063,0
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,False,1424.651536,1
390,Chimchar,Fire,None,309,44,58,44,58,44,61,4,False,430.7,0
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False,676.6029633,0
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,False,1052.729718,0
393,Piplup,Water,None,314,53,51,53,61,56,40,4,False,448.8,0
394,Prinplup,Water,None,405,64,66,68,81,76,50,4,False,655.8999695,0
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False,1019.89998,0
396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,False,348.245603,0
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,False,607.0831903,0
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False,1244.638502,1
399,Bidoof,Normal,None,250,59,45,40,35,40,31,4,False,382.7793098,0
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,False,839.6427812,0
401,Kricketot,Bug,None,194,37,25,41,25,41,25,4,False,215.851801,0
402,Kricketune,Bug,None,384,77,85,51,55,51,65,4,False,779.2303896,0
403,Shinx,Electric,None,263,45,65,34,40,34,45,4,False,433.7741348,0
404,Luxio,Electric,None,363,60,85,49,60,49,60,4,False,692.820323,0
405,Luxray,Electric,None,523,80,120,79,95,79,70,4,False,1275.732143,1
406,Budew,Grass,Poison,280,40,30,35,50,70,55,4,False,235.9819908,0
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,False,658.4071689,0
408,Cranidos,Rock,None,350,67,125,40,30,30,58,4,False,940.1914699,0
409,Rampardos,Rock,None,495,97,165,60,65,50,58,4,False,1649.72725,1
410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,False,440.967856,0
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,False,784.9300924,0
412,Burmy,Bug,None,224,40,29,45,29,45,36,4,False,252.7607564,0
413,WormadamPlant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,False,640.8587988,0
413,WormadamSandy Cloak,Bug,Ground,424,60,79,105,59,85,36,4,False,891.7623002,0
413,WormadamTrash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,False,762.9678892,0
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,False,810.2007467,0
415,Combee,Bug,Flying,244,30,30,42,30,42,70,4,False,227.9062307,0
416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,False,947.3838979,0
417,Pachirisu,Electric,None,405,60,45,70,45,90,95,4,False,479.0615827,0
418,Buizel,Water,None,330,55,65,35,60,30,85,4,False,473.2863826,0
419,Floatzel,Water,None,495,85,105,55,85,50,115,4,False,1003.992032,0
420,Cherubi,Grass,None,275,45,35,45,62,53,35,4,False,300,0
421,Cherrim,Grass,None,450,70,60,70,87,78,85,4,False,637.5,0
422,Shellos,Water,None,325,76,48,48,57,62,34,4,False,477.0144337,0
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False,1002.19076,0
424,Ambipom,Normal,None,482,75,100,66,60,66,115,4,False,981.8872135,0
425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,False,466.2362599,0
426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,False,937.3279842,0
427,Buneary,Normal,None,350,55,66,44,44,56,85,4,False,520.547116,0
428,Lopunny,Normal,None,480,65,76,84,54,96,105,4,False,809.8488748,0
428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False,1410.052198,1
429,Mismagius,Ghost,None,495,60,60,60,105,105,105,4,False,562.5,0
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,False,1228.893812,1
431,Glameow,Normal,None,310,49,55,42,42,37,85,4,False,422.7907284,0
432,Purugly,Normal,None,452,71,82,64,64,59,112,4,False,799.5295242,0
433,Chingling,Psychic,None,285,45,30,50,65,50,45,4,False,281.0249099,0
434,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,False,542.4225659,0
435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,False,1062.359939,0
436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,False,332.5764874,0
437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,False,1077.89365,0
438,Bonsly,Rock,None,290,50,80,95,10,45,10,4,False,803.29789,0
439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,False,183.3030278,0
440,Happiny,Normal,None,220,100,5,5,15,65,30,4,False,95.91663047,0
441,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,False,591.1345025,0
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,False,956.7379735,0
443,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,False,562.5433317,0
444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,False,855.6050491,0
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,False,1686.618659,1
445,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,False,2339.354078,1
446,Munchlax,Normal,None,390,135,85,40,40,85,5,4,False,908.2951062,0
447,Riolu,Fighting,None,285,40,70,40,35,40,60,4,False,467.5,0
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,False,1062.5,0
448,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,False,1497.090512,1
449,Hippopotas,Ground,None,330,68,72,78,38,42,32,4,False,764.3632056,0
450,Hippowdon,Ground,None,525,108,112,118,68,72,47,4,False,1624.359292,1
451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,4,False,493.957235,0
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,False,1082.315227,0
453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,False,447.3683046,0
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,False,1071.379671,0
455,Carnivine,Grass,None,454,74,100,72,90,72,46,4,False,1011.934657,0
456,Finneon,Water,None,330,49,49,56,49,61,66,4,False,431.4188684,0
457,Lumineon,Water,None,460,69,69,76,69,86,91,4,False,734.4117646,0
458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,False,218.5749299,0
459,Snover,Grass,Ice,334,60,62,50,62,60,40,4,False,537.6232417,0
460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,False,1040.158882,0
460,AbomasnowMega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,4,False,1650.070908,1
461,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,False,1113.238519,0
462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,False,893.5113318,0
463,Lickilicky,Normal,None,515,110,85,95,80,95,50,4,False,1172.60394,0
464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,False,2128.077184,1
465,Tangrowth,Grass,None,535,100,100,125,110,50,50,4,False,1459.186417,1
466,Electivire,Electric,None,540,75,123,67,95,85,95,4,False,1185.515584,0
467,Magmortar,Fire,None,540,75,95,67,125,95,83,4,False,944.9761902,0
468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,False,681.7257513,0
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,False,919.1,0
470,Leafeon,Grass,None,525,65,110,130,60,65,95,4,False,1346.291202,1
471,Glaceon,Ice,None,525,65,60,110,130,95,65,4,False,750,0
472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,False,1234.746938,1
473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,False,1580.100867,1
474,Porygon-Z,Normal,None,535,85,80,70,135,75,90,4,False,875.8567234,0
475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,False,1140.806732,0
475,GalladeMega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,4,False,1719.918603,1
476,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,False,766.8115805,0
477,Dusknoir,Ghost,None,525,45,100,135,65,135,45,4,False,1090.985793,0
478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,False,807.5,0
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,False,502.6479882,0
479,RotomHeat Rotom,Electric,Fire,520,50,65,107,105,107,86,4,False,712.4043795,0
479,RotomWash Rotom,Electric,Water,520,50,65,107,105,107,86,4,False,712.4043795,0
479,RotomFrost Rotom,Electric,Ice,520,50,65,107,105,107,86,4,False,712.4043795,0
479,RotomFan Rotom,Electric,Flying,520,50,65,107,105,107,86,4,False,712.4043795,0
479,RotomMow Rotom,Electric,Grass,520,50,65,107,105,107,86,4,False,712.4043795,0
480,Uxie,Psychic,None,580,75,75,130,75,130,95,4,True,1028.129369,0
481,Mesprit,Psychic,None,580,80,105,105,105,105,80,4,True,1281.24939,1
482,Azelf,Psychic,None,580,75,125,70,125,70,115,4,True,1224.499898,1
483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,True,1682.091332,1
484,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,True,1483.465116,1
485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,True,1189.145281,0
486,Regigigas,Normal,None,670,110,160,110,80,110,100,4,True,2187.5,1
487,GiratinaAltered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,True,1716.353329,1
487,GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,True,1859.621937,1
488,Cresselia,Psychic,None,600,120,70,120,75,130,85,4,False,1147.5,0
489,Phione,Water,None,480,80,80,80,80,80,80,4,False,902.5,0
490,Manaphy,Water,None,600,100,100,100,100,100,100,4,False,1322.5,1
491,Darkrai,Dark,None,600,70,90,90,135,90,125,4,True,991.9582905,0
492,ShayminLand Forme,Grass,None,600,100,100,100,100,100,100,4,True,1322.5,1
492,ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,True,1200.472407,1
493,Arceus,Normal,None,720,120,120,120,120,120,120,4,True,1822.5,1
494,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,True,1322.5,1
495,Snivy,Grass,None,308,45,45,55,45,55,63,5,False,388.8444419,0
496,Servine,Grass,None,413,60,60,75,60,75,83,5,False,616.1878772,0
497,Serperior,Grass,None,528,75,75,95,75,95,113,5,False,895.4886934,0
498,Tepig,Fire,None,308,65,63,45,45,45,45,5,False,540.399852,0
499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,False,925.9071228,0
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,False,1380,1
501,Oshawott,Water,None,308,55,55,45,63,45,45,5,False,453.6518489,0
502,Dewott,Water,None,413,75,75,60,83,60,60,5,False,739.4254526,0
503,Samurott,Water,None,528,95,100,85,108,70,70,5,False,1206.130175,1
504,Patrat,Normal,None,255,45,55,39,35,39,42,5,False,398.4469852,0
505,Watchog,Normal,None,420,60,85,69,60,69,77,5,False,793.7253933,0
506,Lillipup,Normal,None,275,45,60,45,25,45,55,5,False,450,0
507,Herdier,Normal,None,370,65,80,65,35,65,60,5,False,760,0
508,Stoutland,Normal,None,500,85,110,90,45,90,80,5,False,1280.868846,1
509,Purrloin,Dark,None,281,41,50,37,50,37,66,5,False,350.7591766,0
510,Liepard,Dark,None,446,64,88,50,88,50,106,5,False,738.0868174,0
511,Pansage,Grass,None,316,50,53,48,53,48,64,5,False,435.1468718,0
512,Simisage,Grass,None,498,75,98,63,98,63,101,5,False,946.775475,0
513,Pansear,Fire,None,316,50,53,48,53,48,64,5,False,435.1468718,0
514,Simisear,Fire,None,498,75,98,63,98,63,101,5,False,946.775475,0
515,Panpour,Water,None,316,50,53,48,53,48,64,5,False,435.1468718,0
516,Simipour,Water,None,498,75,98,63,98,63,101,5,False,946.775475,0
517,Munna,Psychic,None,292,76,25,45,67,55,24,5,False,295.5672512,0
518,Musharna,Psychic,None,487,116,55,85,107,95,29,5,False,801.18662,0
519,Pidove,Normal,Flying,264,50,55,50,36,30,43,5,False,455,0
520,Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,False,708.4,0
521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,False,1235,1
522,Blitzle,Electric,None,295,45,60,32,50,32,76,5,False,398.2775414,0
523,Zebstrika,Electric,None,497,75,100,63,80,63,116,5,False,963.532563,0
524,Roggenrola,Rock,None,280,55,75,85,25,25,15,5,False,752.9940239,0
525,Boldore,Rock,None,390,70,105,105,50,40,20,5,False,1211.940593,1
526,Gigalith,Rock,None,515,85,135,130,60,80,25,5,False,1806.239187,1
527,Woobat,Psychic,Flying,313,55,45,43,55,43,72,5,False,382.3087757,0
528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,False,545.4920714,0
529,Drilbur,Ground,None,328,60,85,40,30,45,68,5,False,642.2616289,0
530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,False,1452.368755,1
531,Audino,Normal,None,445,103,60,86,60,86,50,5,False,818.7719463,0
531,AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,False,967.4127868,0
532,Timburr,Fighting,None,305,75,80,55,25,35,35,5,False,754.0391237,0
533,Gurdurr,Fighting,None,405,85,105,85,40,50,40,5,False,1200,0
534,Conkeldurr,Fighting,None,505,105,140,95,55,65,45,5,False,1780.81442,1
535,Tympole,Water,None,294,50,50,40,50,40,64,5,False,388.6434742,0
536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,False,634.9803147,0
537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,False,1143.153533,0
538,Throh,Fighting,None,465,120,100,85,30,85,45,5,False,1336.179254,1
539,Sawk,Fighting,None,465,75,125,75,30,75,85,5,False,1260,1
540,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,False,485.6171331,0
541,Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,False,668.7106998,0
542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,False,1091.101279,0
543,Venipede,Bug,Poison,260,30,45,59,30,39,57,5,False,346.2369131,0
544,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,False,554.2833211,0
545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,False,1015.6525,0
546,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,False,269.7498842,0
547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,False,710.1408311,0
548,Petilil,Grass,None,280,45,35,50,70,50,30,5,False,312.2498999,0
549,Lilligant,Grass,None,480,70,60,75,110,75,90,5,False,655.9820882,0
550,Basculin,Water,None,460,70,92,65,80,55,98,5,False,882.3446039,0
551,Sandile,Ground,Dark,292,50,72,35,35,35,65,5,False,495.9763099,0
552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,False,650.6957815,0
553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,False,1349.373188,1
554,Darumaka,Fire,None,315,70,90,45,15,45,50,5,False,749.849985,0
555,DarmanitanStandard Mode,Fire,None,480,105,140,55,30,55,95,5,False,1420.598465,1
555,DarmanitanZen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,False,540,0
556,Maractus,Grass,None,461,75,86,67,106,67,60,5,False,867.6599564,0
557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,False,644.9806199,0
558,Crustle,Bug,Rock,475,70,95,125,65,75,45,5,False,1199.958333,0
559,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,False,668.9730936,0
560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,False,1070.794098,0
561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,False,663.6579315,0
562,Yamask,Ghost,None,303,38,30,85,55,65,30,5,False,327.604945,0
563,Cofagrigus,Ghost,None,483,58,50,145,95,105,30,5,False,702.4813165,0
564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,False,839.1671943,0
565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,False,1411.662807,1
566,Archen,Rock,Flying,401,55,112,45,74,45,70,5,False,823.0540687,0
567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,False,1315.218613,1
568,Trubbish,Poison,None,329,50,50,62,40,62,65,5,False,459.8491601,0
569,Garbodor,Poison,None,474,80,95,82,60,82,75,5,False,1055.942707,0
570,Zorua,Dark,None,330,40,65,40,80,40,65,5,False,440,0
571,Zoroark,Dark,None,510,60,105,60,120,60,105,5,False,900,0
572,Minccino,Normal,None,300,55,50,40,40,40,75,5,False,403.3143935,0
573,Cinccino,Normal,None,470,75,95,60,65,60,115,5,False,903.7422199,0
574,Gothita,Psychic,None,290,45,30,50,55,65,45,5,False,281.0249099,0
575,Gothorita,Psychic,None,390,60,45,70,75,85,55,5,False,479.0615827,0
576,Gothitelle,Psychic,None,490,70,55,95,95,110,65,5,False,676.8677862,0
577,Solosis,Psychic,None,290,45,30,40,105,50,20,5,False,258.5053191,0
578,Duosion,Psychic,None,370,65,40,50,125,60,30,5,False,396.6106403,0
579,Reuniclus,Psychic,None,490,110,65,75,125,85,30,5,False,848.5281374,0
580,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,False,417.4015453,0
581,Swanna,Water,Flying,473,75,87,63,87,63,98,5,False,854.6114907,0
582,Vanillite,Ice,None,305,36,50,50,65,60,44,5,False,374.2442384,0
583,Vanillish,Ice,None,395,51,65,65,80,75,59,5,False,581.308868,0
584,Vanilluxe,Ice,None,535,71,95,85,110,95,79,5,False,1020.098035,0
585,Deerling,Normal,Grass,335,60,60,50,40,50,75,5,False,523.6590016,0
586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,False,1033.401543,0
587,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,False,652.1119536,0
588,Karrablast,Bug,None,315,50,75,45,40,45,60,5,False,562.0498199,0
589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,False,1514.925741,1
590,Foongus,Grass,Poison,294,69,55,45,55,55,15,5,False,496.9507018,0
591,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,False,1047.138959,0
592,Frillish,Water,Ghost,335,55,40,50,65,85,40,5,False,370.995283,0
593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,False,741.5144975,0
594,Alomomola,Water,None,470,165,75,80,40,45,65,5,False,1176.902715,0
595,Joltik,Bug,Electric,319,50,47,50,57,50,65,5,False,403,0
596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,False,734.5610934,0
597,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,False,514.0345319,0
598,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,False,1242.504382,1
599,Klink,Steel,None,300,40,55,70,45,60,30,5,False,478.6178016,0
600,Klang,Steel,None,440,60,80,95,70,85,50,5,False,862.8803509,0
601,Klinklang,Steel,None,520,60,100,115,70,85,90,5,False,1135.534015,0
602,Tynamo,Electric,None,275,35,55,40,45,40,60,5,False,367.0830969,0
603,Eelektrik,Electric,None,405,65,85,70,75,70,40,5,False,824.6211251,0
604,Eelektross,Electric,None,515,85,115,80,105,80,50,5,False,1267.083265,1
605,Elgyem,Psychic,None,335,55,55,55,85,55,30,5,False,490,0
606,Beheeyem,Psychic,None,485,75,75,75,125,95,40,5,False,810,0
607,Litwick,Ghost,Fire,275,50,30,55,65,55,20,5,False,303.5415952,0
608,Lampent,Ghost,Fire,370,60,40,60,95,60,55,5,False,412.5,0
609,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,False,621.1883772,0
610,Axew,Dragon,None,320,46,87,60,30,40,57,5,False,689.9152122,0
611,Fraxure,Dragon,None,410,66,117,70,40,50,67,5,False,1095.281882,0
612,Haxorus,Dragon,None,540,76,147,90,60,70,97,5,False,1583.544821,1
613,Cubchoo,Ice,None,305,55,70,40,60,40,40,5,False,527.41113,0
614,Beartic,Ice,None,485,95,110,80,70,80,50,5,False,1277.815519,1
615,Cryogonal,Ice,None,485,70,50,30,95,135,105,5,False,402.0027985,0
